MedInc,HouseAge,CHAS,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
5.8,52,1,7.3,1,412,2.5,37.9,-122.3,3.3
4.6,52,1,6.3,1.1,835,2.3,37.9,-122.3,2.9
5.4,52,0,6.8,1.1,722,2.4,37.9,-122.3,2.9
4.1,52,0,5.4,1,1085,2.2,37.9,-122.3,2.7
7.3,52,0,7.4,1,973,2.7,37.9,-122.3,3.7
5.4,52,1,7.3,1.1,723,2.7,37.9,-122.3,3.4
7.8,37,1,6.1,0.9,903,2.5,37.9,-122.3,3.7
6.2,41,0,6.2,1.1,356,2,37.9,-122.3,3.4
6.4,52,1,6.7,1.1,1005,2.2,37.9,-122.3,3.4
6.7,52,1,7.4,1.1,1205,2.4,37.9,-122.3,3.7
7.5,37,0,6.7,1,987,2.2,37.9,-122.3,3.5
6.7,42,0,6.4,1,1031,2.3,37.9,-122.3,3.7
6.2,52,0,6.3,1,894,2.2,37.9,-122.3,3.9
5.8,52,1,6,1.1,823,2.2,37.9,-122.3,4.2
4.3,52,0,5.4,1,1232,2,37.9,-122.3,2.8
3.5,52,1,4.6,1.1,669,1.8,37.9,-122.3,2.9
3,44,1,4.1,1.1,989,1.8,37.9,-122.3,2.7
4.1,52,0,5.4,1.1,1058,2.3,37.9,-122.3,2.6
4.2,52,0,5.8,1,506,2.4,37.9,-122.3,2.5
3.9,52,0,5.4,1,489,2.2,37.9,-122.3,2.4
3.9,52,0,5.6,1.1,824,2.1,37.9,-122.3,2.2
3.1,48,0,5,1,1034,2.2,37.9,-122.3,2.3
3,46,0,4.5,1,920,2.2,37.9,-122.3,1.9
3.6,52,0,4.3,1,841,2.2,37.9,-122.3,1.8
1.5,45,0,3.3,1.1,749,5.5,37.9,-122.3,1.9
1.7,52,0,4.2,1,208,2.1,37.9,-122.3,1.4
2.2,10,1,5,1.2,228,2.3,37.9,-122.3,1.5
2.8,50,1,3.9,1,287,2.2,37.9,-122.3,1.4
2.6,52,1,4.5,1.1,218,2.1,37.9,-122.3,1.2
2.9,46,0,4.6,1.1,854,2.4,37.9,-122.3,1.4
2.2,52,0,4.6,1.1,1695,2.5,37.9,-122.3,1.4
3.2,52,0,5.6,1.1,403,2.3,37.9,-122.3,2.5
3.5,52,1,4.5,1,288,2.2,37.9,-122.3,2
2,49,0,3.9,1.1,963,1.8,37.9,-122.3,1.7
2.7,50,1,3.5,1,1129,2.2,37.9,-122.3,1.9
3.9,52,0,4.4,1,386,1.9,37.9,-122.3,1.8
3,52,0,4.7,1,811,2,37.9,-122.3,2.3
2.5,46,0,4.5,1,1293,1.9,37.9,-122.3,2.2
2.9,46,0,4.1,1,805,1.9,37.9,-122.3,2.1
2.2,52,0,3.2,1.1,1372,1.6,37.9,-122.3,2.7
1.8,30,0,3.4,1,862,2,37.9,-122.3,2.7
2.5,37,1,4.3,1.1,1152,1.9,37.9,-122.3,2.8
4.3,52,0,4.6,1,483,1.9,37.9,-122.3,3.3
2.9,52,1,4.1,1.1,1558,2.7,37.9,-122.3,3.4
1.7,52,1,3.4,1.1,1798,2.3,37.9,-122.3,2.9
5.2,41,1,5.6,1.1,266,2.2,37.9,-122.3,3.8
2.6,42,1,4.2,1.1,2184,5.2,37.9,-122.3,3.7
0.9,52,1,2.5,1,2016,4.2,37.9,-122.3,3.5
1.2,52,0,2.4,0.9,1349,5.4,37.9,-122.3,5
1.4,52,0,3.1,1.1,3337,9.5,37.9,-122.3,1.8
1.2,52,0,2.9,1.1,1721,1.8,37.9,-122.3,2.4
1.7,35,1,3.2,1.1,1675,1.7,37.9,-122.3,2.2
2.9,49,0,3.9,1.1,707,2,37.9,-122.3,2.1
2.7,52,0,4.4,1,1424,2.1,37.9,-122.3,2.1
3.9,52,1,5,1,393,2.1,37.9,-122.3,2
3.6,52,1,5.3,1,828,2.4,37.9,-122.3,1.9
2.3,52,1,4.2,1,571,2,37.9,-122.3,1.8
2.5,44,0,3.6,1.1,1382,1.9,37.9,-122.3,1.8
2.5,46,1,3.9,1,792,2.5,37.9,-122.3,1.7
2,52,1,4.5,1.1,815,2.2,37.9,-122.3,1.6
2.8,52,0,4.8,1.1,788,2.3,37.9,-122.3,1.6
2.6,52,1,5.2,1.1,1145,2.7,37.9,-122.3,1.5
1.9,50,1,4.4,1.1,1354,2.4,37.9,-122.3,1.5
1.9,52,1,4.6,1,958,2.2,37.9,-122.3,1.7
2,49,1,4.8,1.1,1361,2.2,37.9,-122.3,1.5
2.4,52,1,5,1.1,1005,2.2,37.9,-122.3,1.5
2.5,49,1,5,1.1,924,2.2,37.9,-122.3,1.8
3.4,52,0,5.6,1.2,780,2.2,37.9,-122.3,1.8
2.6,52,0,4.7,1.1,1582,2.5,37.9,-122.3,1.6
2.3,41,0,3.9,1,1213,2.1,37.9,-122.3,1.5
2.6,52,0,4.1,1.1,486,1.8,37.9,-122.3,2.5
3.2,52,1,4.8,1.1,494,2.8,37.9,-122.3,2.1
2.7,52,0,4.8,1,849,2.3,37.9,-122.3,2.2
1.8,52,1,4.2,1.1,1127,2.1,37.9,-122.3,2
1.6,35,1,3,1,3276,1.9,37.9,-122.3,2.5
2.9,52,1,4.4,1,1493,1.9,37.9,-122.3,2.6
2.9,52,1,5.6,1.1,1461,2.2,37.9,-122.3,2.9
3.4,52,1,5.4,1.1,1253,2.3,37.9,-122.3,2.4
3,48,1,4.7,1.1,1656,3.6,37.9,-122.3,4.9
7.1,52,1,6.9,0.9,514,2.5,37.9,-122.3,4.5
5,52,0,5.8,1.1,719,2.4,37.9,-122.3,4.6
1.8,52,1,3.5,1,878,2,37.9,-122.3,3.4
7.9,52,0,7.8,1.1,517,2.4,37.9,-122.2,5
9.4,52,1,7.5,1,1366,2.8,37.9,-122.2,5
5.4,52,0,6.9,1.1,1316,2.2,37.9,-122.3,3.8
3.3,52,0,4.8,1,1508,2,37.9,-122.3,3.1
2.7,52,0,5,1.1,1800,2.2,37.9,-122.3,1.8
2.2,47,1,6.4,1.2,719,2.2,37.9,-122.3,1.7
1.9,50,0,5,1.2,675,2.6,37.9,-122.3,1.5
1.6,52,0,5.4,1.2,875,2.4,37.9,-122.3,1.5
2.3,52,0,4.4,1.1,152,2,37.9,-122.3,1.1
1.4,47,0,4.3,1,843,2.6,37.9,-122.3,1.4
2.9,52,0,4.6,1.1,281,2.1,37.9,-122.3,1.2
1.7,44,1,5,1,506,2.5,37.9,-122.3,1.5
2.3,48,0,4.4,1,1054,2.3,37.9,-122.3,1.3
2.2,35,0,4.5,1,1017,2.5,37.8,-122.3,1.3
2.7,52,1,4.1,1.1,1623,2.1,37.8,-122.3,1.3
4,14,1,3.6,1.2,3100,1.5,37.8,-122.3,1.4
7.9,52,1,8.3,1,947,2.6,37.8,-122.2,5
11.9,39,1,7.9,1,808,2.6,37.8,-122.2,5
13.5,42,0,8.9,1,1018,3,37.8,-122.2,5
12.2,52,0,9.2,1,1001,2.8,37.8,-122.2,5
8.2,52,0,8.3,1,1005,2.7,37.8,-122.2,4.7
12.4,52,1,9.1,1,1192,3.1,37.8,-122.2,5
5.9,52,0,7.7,1.1,585,2.6,37.8,-122.2,4.6
8.1,52,1,7.8,1,916,2.9,37.8,-122.2,4.7
8.7,52,1,9,1.1,556,3.1,37.8,-122.2,5
6.2,52,0,7,1,1470,2.8,37.8,-122.2,4
5.9,52,0,6.2,1,1104,2.8,37.8,-122.3,3.4
5.2,52,1,5.9,1,1242,2.4,37.8,-122.2,2.9
4.7,52,1,7.1,1,805,2.5,37.8,-122.2,3.4
5.3,52,0,8.1,1.1,378,2.3,37.8,-122.2,3.3
2.6,52,0,5.2,1.1,481,2.2,37.8,-122.2,2.4
3.3,52,0,4.8,1.1,409,2.6,37.8,-122.2,1.9
3.6,52,1,4.6,1,885,2.4,37.8,-122.2,2.1
3,52,1,4.7,1,1468,2.6,37.8,-122.3,2.2
3.2,52,1,4.8,1,482,2.2,37.8,-122.3,2.1
3.5,52,1,5.8,1.2,825,3.1,37.8,-122.3,2.1
4.3,52,0,5.4,1,429,2.7,37.8,-122.3,2
3.3,52,0,4.7,1,528,2.5,37.8,-122.3,2
2.9,52,1,4.8,1.1,496,2.3,37.8,-122.3,1.9
2.7,52,1,5.3,1.1,718,2.7,37.8,-122.3,2.1
3.8,52,0,4.6,1,630,2.4,37.8,-122.3,2.2
3.9,45,0,4.1,0.9,723,2.5,37.8,-122.3,2.1
5.3,13,1,4.2,1.1,959,2,37.8,-122.3,2.9
2.5,30,0,4.8,1,3668,4.3,37.8,-122.3,2.8
2.6,42,1,5.7,1,2037,5.7,37.8,-122.3,2
2.6,29,0,4,1.1,3741,2.9,37.8,-122.3,1.7
1.9,42,1,4.1,1,821,2.7,37.8,-122.3,1
3,52,1,4.2,1,870,2.5,37.8,-122.3,2.2
3.8,27,0,4.1,1.1,1901,2,37.8,-122.3,2.4
5.2,18,0,4.3,1.2,1243,1.9,37.8,-122.3,2.7
2.5,50,1,4.5,0.9,730,2.2,37.8,-122.3,2.2
3,52,0,5.6,1.2,793,2.7,37.8,-122.3,2.8
5.5,52,0,5.2,0.9,1033,2.4,37.8,-122.3,3.7
4.2,52,1,4.8,1,872,2.4,37.8,-122.3,2.3
2.7,52,0,3.7,1.1,849,1.9,37.8,-122.3,2.2
3.3,52,1,4.6,1.1,1121,2.2,37.8,-122.3,2.3
3.3,52,1,4.8,1,872,2,37.8,-122.3,2.5
4.8,52,0,5.3,1.1,637,2.1,37.8,-122.3,3.5
4.2,52,1,5,1.1,663,2,37.8,-122.3,2.8
3.4,52,1,7,1,411,2.4,37.8,-122.3,4.1
3,52,0,5.1,1.1,915,2.2,37.8,-122.3,2.3
2.9,52,1,3.9,1,921,1.9,37.8,-122.3,2.3
2.4,43,1,3.6,1.1,585,2.2,37.8,-122.2,1.6
3,43,0,4.1,1.1,2086,2,37.8,-122.3,2.4
5.1,52,0,5.6,1,1303,2.4,37.8,-122.2,2.7
4.1,52,1,6,1.1,374,2.1,37.8,-122.2,2.5
3.5,52,0,5.3,1.1,979,2.1,37.8,-122.2,2.4
2.7,52,1,4.1,1.1,827,1.9,37.8,-122.2,2.4
5.8,52,1,6.7,1,658,2.6,37.8,-122.2,3.1
4,50,0,5.8,1.1,654,2.4,37.8,-122.2,2.4
4.9,45,1,6.1,1.1,384,2.6,37.8,-122.2,2.5
4.9,27,1,5.1,0.9,1499,1.9,37.8,-122.2,2.9
3.1,52,0,5.1,1.1,1128,2.2,37.8,-122.2,2.7
3.7,49,1,4.9,1.1,1110,2.3,37.8,-122.2,2.3
4.6,52,1,6.2,1.1,1119,2.7,37.8,-122.2,2.3
4.5,21,0,5.7,1,2930,2.4,37.7,-122.2,2.3
4.5,25,1,4.9,0.9,897,2.3,37.7,-122.3,2.1
7.6,5,0,6.9,1.1,7427,2.7,37.7,-122.2,3.5
3.3,31,1,4.4,1.1,2973,2.3,37.7,-122.3,2.3
3.6,52,1,4.6,1,1340,2.1,37.8,-122.3,2.5
3.7,28,0,4.7,1,2974,2,37.7,-122.3,3.5
4.8,23,1,4.9,1.1,2690,2.3,37.8,-122.3,2.9
3.2,20,1,3.5,1.1,583,1.8,37.8,-122.3,1
7.3,12,0,7.1,1,5781,2.9,37.8,-122.1,3.4
7.1,5,1,7,0.9,1738,3.4,37.7,-122.1,4.1
4.6,36,1,6.7,1.1,1478,2.8,37.7,-122.1,2.5
5.3,40,0,6.7,1.1,746,2.8,37.7,-122.1,2.5
5,36,1,6.3,1.1,1235,2.7,37.7,-122.1,2.4
5.5,26,0,6.6,1,1411,2.9,37.7,-122.1,3
6.2,31,0,7.4,1,1368,2.6,37.7,-122.1,3.4
5.6,32,0,6.7,1,1048,2.9,37.7,-122.1,2.7
5.5,35,1,6.1,1,1004,2.8,37.7,-122.1,2.4
5.1,35,0,7.3,1.1,1086,3,37.7,-122.1,2.7
5.8,30,1,7.4,1,922,2.6,37.7,-122.1,3.3
4.7,36,1,5.6,1,1950,2.4,37.7,-122.1,2.1
4.4,25,0,5,1,1413,2.4,37.7,-122.1,2.1
3.7,30,1,5.5,1.1,1444,2.5,37.7,-122.1,2
5.3,31,0,6.9,1,749,2.8,37.7,-122.1,2.5
4.3,31,0,6.2,1,867,2.6,37.7,-122.1,2.4
5.2,27,0,6.5,1,2723,2.6,37.7,-122.1,2.5
6,30,1,6.7,1,731,2.8,37.7,-122.1,2.6
5.1,38,1,5.5,1,781,2.6,37.7,-122.1,2.3
4.8,38,1,5.7,1,1784,2.7,37.7,-122.1,2.2
5.2,32,0,6.6,1.1,1156,2.8,37.7,-122.1,2.6
4.1,39,1,5.1,1,645,2.3,37.7,-122.1,2.3
4.6,37,1,6,1,821,2.6,37.7,-122.1,2.3
3.5,33,0,5.1,1,1912,2.5,37.7,-122.1,2.1
3,32,1,4.9,1.1,1487,2.1,37.7,-122.1,2.2
3.5,25,0,4.8,1.1,1645,2.3,37.7,-122.1,2.1
3,33,1,4.2,1.1,2239,2.1,37.7,-122.1,2.1
2.5,29,0,4.2,1.1,1021,1.8,37.7,-122.1,2
3.3,36,1,5,1.1,1105,2.4,37.7,-122.1,2
3.1,31,0,4.6,1,2999,2.3,37.7,-122.1,1.9
2.9,43,0,5.5,1.1,740,2.6,37.7,-122.1,1.8
3.3,42,0,5.8,1.1,629,2.6,37.7,-122.1,1.8
2.4,37,0,4.1,1,314,1.5,37.7,-122.1,1.9
3.5,15,0,4.6,1,1479,2.2,37.7,-122.1,2.4
4.8,20,0,5.4,1,1732,2.2,37.7,-122.1,1.9
3.9,52,1,5.3,1,1338,2.4,37.7,-122.2,1.8
4.1,52,0,5.6,1,440,2.3,37.7,-122.1,2
4.6,51,1,6.7,1,922,2.3,37.7,-122.1,2.5
2.2,49,1,5.2,1.1,611,2.1,37.7,-122.2,1.9
4.1,52,1,5.5,1,994,2.4,37.7,-122.2,2
4,52,0,6.1,1,545,2.4,37.7,-122.2,2.2
4.9,52,0,7.2,0.9,317,2.2,37.7,-122.2,2.8
2.8,45,1,5.1,1.1,1573,2.1,37.7,-122.2,2.5
3.3,46,1,5,1.1,925,2.1,37.7,-122.2,1.8
2.8,49,0,4.4,1.1,768,2,37.7,-122.2,1.7
3.7,52,1,5.3,1,620,2.1,37.7,-122.2,1.8
2.6,52,1,5.4,1,425,2.1,37.7,-122.2,1.8
3.8,45,0,4.9,1,1003,3.3,37.7,-122.2,1.6
3.4,45,0,5.4,1.1,519,3.8,37.7,-122.2,1.6
3.2,38,0,4.5,1,481,2.4,37.7,-122.2,1.8
4,36,1,5.1,1,1209,2.3,37.7,-122.2,2.1
3.4,35,0,4.9,1.1,1398,2.7,37.7,-122.2,1.8
5.5,36,1,6.2,1.2,158,2.7,37.7,-122.2,2.6
3.4,42,0,4.5,1,1817,2.7,37.7,-122.2,1.7
3.5,46,1,4.7,1,766,2.7,37.7,-122.2,1.6
3.7,5,1,5.2,1.2,814,2.5,37.7,-122.2,1.6
2.9,38,1,4.2,1,618,2.6,37.7,-122.2,1.4
4,43,1,4.8,1,2139,2.7,37.7,-122.2,1.7
4.6,37,1,6,1,632,2.5,37.7,-122.2,1.9
3.5,36,1,5,1,366,2.7,37.7,-122.2,1.8
3.3,10,0,4.6,1.2,877,1.8,37.7,-122.2,1.4
2.2,28,0,3.9,1,830,1.4,37.7,-122.2,1.4
2.9,31,0,4.3,1,739,1.9,37.7,-122.2,2.1
3.4,47,1,4.5,0.9,540,2,37.7,-122.2,2
2.8,29,0,4.3,1.1,2024,2.1,37.7,-122.2,1.6
5,52,1,6.1,1,823,2.5,37.7,-122.1,2.6
3.1,38,0,4.9,1.1,711,2,37.7,-122.1,2.2
3.8,43,1,6.2,1.1,931,2.5,37.7,-122.1,2.4
6.9,33,1,7.4,1,686,2.5,37.7,-122.1,3.4
7.9,26,1,7.2,1,1030,2.6,37.7,-122.1,3.7
3.8,35,1,5.6,1,976,2.5,37.7,-122.1,2.4
4,35,1,4.9,1,552,2.6,37.7,-122.1,1.7
6.5,25,1,6.6,0.9,340,2,37.7,-122.1,3.7
3.5,39,1,6,1,288,2.2,37.7,-122.1,2.2
3,45,0,5.6,1,555,2.2,37.7,-122.1,2
3.5,45,1,5.2,1,1006,2.3,37.7,-122.1,1.9
3.1,44,1,4.7,1,776,2.2,37.7,-122.1,1.9
3.6,44,0,5.3,1.1,609,2.3,37.7,-122.1,1.8
3.2,18,1,4.3,1.1,2441,1.8,37.7,-122.2,2
2.6,27,0,3.9,1.1,1364,1.7,37.7,-122.1,1.8
3.7,18,0,3.7,1,2197,2.1,37.7,-122.1,1.7
3.5,43,0,5.6,1,1333,2.5,37.7,-122.1,1.8
3.9,19,0,5,1,1810,2.6,37.7,-122.1,2.2
4,36,1,5.5,1,531,2.9,37.7,-122.2,1.9
3.6,36,0,5.6,0.9,672,2.6,37.7,-122.2,1.9
4.6,17,0,4.4,0.9,695,2.1,37.7,-122.1,1.9
2.6,21,1,4.1,1.1,2162,2.2,37.7,-122.1,2.2
3.4,17,0,3.7,1.2,1216,1.9,37.7,-122.1,2.7
4,36,0,5.3,1,606,2.5,37.7,-122.1,1.9
5,36,1,5.9,1,1203,3.2,37.7,-122.2,1.9
4.5,38,1,5.2,1.1,874,2.9,37.7,-122.1,1.9
3.7,38,1,5.6,1,637,2.9,37.7,-122.2,1.8
3.9,36,1,5.4,1,703,2.5,37.7,-122.2,2
3.5,36,1,6.4,1.1,733,3.2,37.7,-122.2,1.9
3.8,36,0,4.9,1,625,2.7,37.7,-122.2,1.9
3,36,0,4.9,0.9,568,2.5,37.7,-122.2,1.9
4.4,36,1,5.5,1,836,2.7,37.7,-122.2,1.9
4,24,0,4.8,1,952,2.6,37.7,-122.2,2
2.4,16,1,4.8,1,568,1.6,37.7,-122.2,0.8
4.8,24,1,6.2,1.1,1125,3.1,37.7,-122.2,2.1
5.5,5,0,5.2,1,840,2.1,37.7,-122.2,1.9
4.4,36,1,5.2,1,796,2.8,37.7,-122.2,2.1
4,36,1,5.8,1,863,3.2,37.7,-122.2,1.9
4.4,35,1,5.4,0.9,1349,2.8,37.7,-122.2,2.1
4.3,30,1,5.9,1.2,929,2.4,37.7,-122.2,2.1
5.1,39,0,5,0.9,957,2.9,37.7,-122.2,1.8
3,37,0,3.9,1,1093,2,37.7,-122.1,1.8
3.6,27,1,5.5,1,1489,2.5,37.7,-122.1,2.2
2.8,31,0,5.1,1.1,1561,2.5,37.7,-122.1,1.8
3,44,0,4.8,1,1256,2.6,37.7,-122.1,1.6
3.4,30,1,4.3,1,695,2.5,37.7,-122.1,1.6
2.9,34,1,4.8,1.2,560,2.4,37.7,-122.1,1.6
3,38,0,4,1,632,2.2,37.7,-122.1,1.5
2.7,41,1,4.7,1,1849,2.5,37.7,-122.1,1.4
3,17,0,4.6,1.1,1287,2.4,37.7,-122.1,1.8
4.1,35,1,5,0.9,1580,2.9,37.7,-122.1,1.8
2.6,19,1,4.3,1.1,1571,2.7,37.7,-122.1,1.6
2.2,23,1,3.8,1,828,1.9,37.7,-122.1,1.6
2.3,29,0,3.8,0.9,835,2.5,37.7,-122.1,1.7
2.4,19,0,3.7,1.1,1765,2.4,37.7,-122.1,1.4
3.9,41,1,4.6,0.9,387,2.4,37.7,-122.1,1.8
2.6,37,1,4,1.1,1562,2.5,37.7,-122.1,1.6
3.5,42,0,4.8,1,768,2.5,37.7,-122.1,1.6
2.4,10,1,4.7,1.2,1140,2.4,37.7,-122.1,1.7
6.5,20,0,6.5,0.8,83,2.7,37.7,-122,3.4
6.1,32,1,7.5,1.1,485,2.8,37.6,-122,4.3
3.9,6,1,4.3,1,1189,2.1,37.6,-122,3
4.8,21,0,5.2,0.9,586,2.4,37.6,-122,2.4
3.3,5,1,4.8,1.2,2240,2.8,37.6,-122.1,1.6
5.3,10,1,5.8,1,867,2.5,37.7,-122,3
6.3,10,1,6.4,1,3827,3,37.7,-122,3.2
5.2,23,0,5.8,1,3827,3,37.7,-122.1,2.2
3.3,36,0,4.2,1,1280,3,37.7,-122.1,2.2
3.2,30,1,5.1,1.2,2667,2.5,37.7,-122.1,1.7
2.4,26,1,8.5,2.7,253,1.8,37.7,-122.1,2.8
2.7,26,0,4.3,1.1,1401,2.3,37.7,-122.1,1.8
1,29,1,3.2,1.1,233,1.5,37.7,-122.1,1.6
2.3,48,0,4.1,1,673,2.2,37.7,-122.1,1.8
3.5,41,1,4.4,1.1,704,2.2,37.7,-122.1,2
3.3,43,1,4.2,0.9,273,2.3,37.7,-122.1,1.5
2.4,29,1,4.3,1,1120,2.1,37.7,-122.1,2.1
2.8,41,1,3.9,1,1105,2.4,37.7,-122.1,1.7
2.5,43,0,4.8,1.2,569,1.9,37.7,-122.1,1.9
3.4,37,0,4.2,1.1,691,2.1,37.7,-122.1,2
2.5,37,1,4.7,1.1,1109,2.5,37.7,-122.1,1.7
2.6,37,0,4.2,1,1197,2.6,37.7,-122.1,1.7
3.1,38,1,4.4,1,1061,2.7,37.7,-122.1,1.8
3,34,0,4.1,1,2479,2.7,37.7,-122.1,1.5
3.1,31,0,4.9,1.1,1162,3,37.7,-122.1,1.7
3,35,1,4.4,1.1,1146,2.6,37.7,-122.1,1.5
4.4,40,1,5.8,0.9,724,2.7,37.7,-122.1,2
4,37,1,6.4,1.1,975,2.6,37.7,-122.1,1.9
3.8,36,0,5.7,1.1,952,2.6,37.7,-122.1,1.9
3.5,45,1,5.5,1,1159,2.9,37.7,-122.1,1.8
4.1,45,1,5.8,1.1,1129,2.7,37.7,-122.1,1.8
4.2,44,0,5.4,1,1175,2.9,37.7,-122.1,1.8
3.6,43,0,5.1,1,924,2.8,37.7,-122.1,1.8
4.3,35,0,5.5,1,1424,2.6,37.7,-122.1,2.1
4.2,34,1,6.1,1.1,1366,2.7,37.7,-122.1,1.9
5.6,35,0,6.3,1,1171,3,37.7,-122.2,2
4.1,36,1,6.1,1,641,2.6,37.7,-122.1,2
3.2,38,1,6.1,1,880,2.7,37.7,-122.1,1.8
4.8,37,1,6,1,1635,2.9,37.7,-122.1,1.9
4.8,37,0,5.8,1,1495,2.8,37.7,-122.1,1.9
3.9,40,0,5.5,1,914,2.9,37.7,-122.1,1.8
3.9,33,1,4.9,1,1798,2.6,37.7,-122.1,1.8
3.2,42,0,5.4,1.1,1625,2.4,37.7,-122.1,1.8
3.1,38,1,4.6,1.1,599,2.7,37.7,-122.1,1.7
3.1,32,0,4.3,1.2,2037,2.9,37.7,-122.1,1.7
2.7,33,0,4,1.1,1854,3.1,37.7,-122.1,1.5
3.1,39,0,4.3,1,1408,2.9,37.7,-122.1,1.5
3.5,40,1,4.9,1.2,766,2.8,37.7,-122.1,1.4
2.2,39,1,4.2,0.9,725,2.6,37.7,-122.1,1.6
6.1,32,0,5.9,0.9,1019,3,37.7,-122.1,2.4
4.3,22,0,5.2,1.1,1830,2.5,37.7,-122.1,1.8
3.2,27,1,5.3,1.1,1469,2.4,37.7,-122.1,2.3
3.2,28,0,4.7,1.2,1198,1.9,37.7,-122.1,2.1
3.9,38,0,5.3,1,1039,2.6,37.7,-122.1,1.7
6.1,29,0,7,1,690,2.9,37.7,-122,2.5
6.8,18,0,7.2,1,1155,2.8,37.7,-122,3.3
6.4,23,1,6.3,0.9,1066,2.8,37.7,-122,3.5
2.7,28,1,3.9,1,1255,2.1,37.7,-122.1,1.6
3.9,21,0,4.8,1.1,2461,2.4,37.7,-122.1,1.8
2.6,33,1,4.3,1,1063,3,37.7,-122.1,1.5
3,31,0,4.5,1.1,2181,2.9,37.7,-122.1,1.6
2.8,17,1,3.9,1.1,3069,2.4,37.7,-122.1,1.6
3.7,35,1,4.8,1.1,1093,2.9,37.7,-122.1,1.7
2.1,37,1,4.6,1,1349,3.1,37.7,-122.1,1.7
3.7,37,0,4.4,0.9,599,2.9,37.7,-122.1,1.5
3.9,35,1,4.6,1,480,3.2,37.7,-122.1,1.6
3,33,1,4.4,1,1293,2.9,37.7,-122.1,1.5
2.8,27,1,4.1,1.1,1414,2.2,37.7,-122.1,2
4.4,35,1,6.1,1,543,3,37.7,-122.1,1.9
4.7,35,1,6.1,1,572,2.9,37.7,-122.1,1.9
4.7,34,0,5.9,1,342,3.1,37.7,-122.1,2
3.2,29,1,4.2,1.1,2332,3.9,37.7,-122.1,1.5
4.3,36,0,5.6,1,768,3.3,37.7,-122.1,1.9
4.1,36,1,5.9,1.1,913,3.1,37.7,-122.1,1.7
3.1,35,1,4.4,1,1726,2.7,37.7,-122.1,1.7
4.5,25,1,5.1,1,1185,2.4,37.7,-122.1,1.9
4.7,28,1,6.4,1.1,735,2.6,37.6,-122.1,2.1
4.4,31,1,5.6,1,796,2.5,37.7,-122.1,2
4.5,36,0,5,0.9,252,3.1,37.7,-122.1,1.8
2.4,26,0,6.5,1.1,86,3.4,37.7,-122.1,1.4
3.8,18,0,5.1,1,5613,2.9,37.6,-122.1,1.9
4.5,35,0,5.1,1,1727,3.7,37.6,-122.1,1.7
4.3,19,0,4.7,0.9,407,2.2,37.7,-122.1,1.6
3.5,18,0,5.9,1.1,2041,2.8,37.7,-122.1,3.3
5.2,31,1,4.9,0.9,854,2.8,37.6,-122.1,2
3.7,8,1,4.8,1.1,1907,2.6,37.6,-122.1,2
3.9,40,1,5.6,1.3,264,3.4,37.6,-122.1,2.3
3.9,34,0,5.9,1,735,3,37.6,-122.1,1.9
3.9,32,0,5.4,1,836,2.9,37.6,-122.1,1.8
3.8,29,1,5.3,1.1,1377,3.4,37.6,-122.1,1.8
3.8,36,0,5.4,1,789,3.2,37.6,-122.1,1.7
5.7,36,1,4.9,0.9,662,2.9,37.6,-122.1,1.8
4.1,36,1,7,1.1,853,3.1,37.6,-122.1,1.7
5.3,36,0,5.9,1.1,664,3.3,37.6,-122.1,1.7
3.3,30,0,4.7,1.1,4065,3.7,37.6,-122.1,1.8
3.1,23,1,4.5,1.1,1109,2.7,37.6,-122.1,1.8
3.8,31,0,4.1,0.9,548,3,37.6,-122.1,1.8
4.3,33,1,4.6,0.9,431,2.9,37.6,-122.1,1.9
3.9,36,1,4.9,0.8,463,2.9,37.6,-122.1,1.8
2.5,22,0,4,1,5436,3.7,37.6,-122.1,1.3
